treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.313893735940919	2012	12.567361524991233	1.0205838863389336
Control	12.313893735940919	2013	12.702038124244412	1.031520849263999
Control	12.313893735940919	2014	12.657756932721298	1.027924814372625
Control	12.313893735940919	2015	12.444822301655908	1.0106325885639929
Control	12.313893735940919	2016	12.926161888480324	1.0497217343002043
Control	12.313893735940919	2017	13.079445506116773	1.0621697560976522
Treatment	12.553735478789827	2012	12.792319355072598	1.0190050106349517
Treatment	12.553735478789827	2013	12.78573687948258	1.0184806666577235
Treatment	12.553735478789827	2014	12.568794084709848	1.00119953188001
Treatment	12.553735478789827	2015	13.027910624937718	1.0377716375296449
Treatment	12.553735478789827	2016	13.426291538324305	1.069505691035844
Treatment	12.553735478789827	2017	13.455753372057394	1.0718525489717043
