treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.263957423984179	2012	13.371370868742746	1.0080981445676491
Control	13.263957423984179	2013	13.518185693185305	1.019166849008534
Control	13.263957423984179	2014	13.549669009169689	1.0215404480015051
Control	13.263957423984179	2015	13.399987780975644	1.0102556388446704
Control	13.263957423984179	2016	13.77959664118533	1.0388752165525472
Control	13.263957423984179	2017	13.98888623862402	1.054654036609693
Treatment	13.064800871621443	2012	13.284596926821644	1.0168235289125322
Treatment	13.064800871621443	2013	13.268450477707669	1.0155876548052547
Treatment	13.064800871621443	2014	13.011705001912988	0.9959359602775281
Treatment	13.064800871621443	2015	13.607276575823008	1.0415219267045928
Treatment	13.064800871621443	2016	13.916313420540998	1.0651760832244415
Treatment	13.064800871621443	2017	13.912537556102606	1.064887072739284
