treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.209981491735222	2012	10.377294651564796	1.0163872148020063
Control	10.209981491735222	2013	10.222758664742262	1.0012514393897172
Control	10.209981491735222	2014	10.04530506340888	0.9838710355685126
Control	10.209981491735222	2015	9.626918213374855	0.942892817305071
Control	10.209981491735222	2016	9.707222189450665	0.9507580593861477
Control	10.209981491735222	2017	9.293212192170637	0.9102085248335963
Treatment	10.33914997823625	2012	10.402072879117735	1.0060858872357918
Treatment	10.33914997823625	2013	10.211664255770014	0.9876696128081524
Treatment	10.33914997823625	2014	10.310773406616308	0.9972554250901018
Treatment	10.33914997823625	2015	9.832406331836454	0.950987881260405
Treatment	10.33914997823625	2016	10.203044586283696	0.9868359205312763
Treatment	10.33914997823625	2017	10.236236637409382	0.9900462474145845
