treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.28629654114849	2012	10.403952421614862	1.0114381186655188
Control	10.28629654114849	2013	10.30331750766279	1.0016547225180814
Control	10.28629654114849	2014	10.245960888272196	0.996078700170179
Control	10.28629654114849	2015	9.95097226649917	0.967400874230301
Control	10.28629654114849	2016	9.864854160175444	0.9590287544902929
Control	10.28629654114849	2017	9.62612002570141	0.93581980523250885
Treatment	10.645649373399365	2012	10.509385696885063	0.9872000596924798
Treatment	10.645649373399365	2013	10.439615788798674	0.9806462173068076
Treatment	10.645649373399365	2014	10.662557273575933	1.001588245073975
Treatment	10.645649373399365	2015	10.082814667697043	0.9471300729564985
Treatment	10.645649373399365	2016	10.17244406267237	0.9555494179707431
Treatment	10.645649373399365	2017	10.38806395531971	0.9758036913442507
