treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.6456235288188436	2012	0.6827967612522132	1.0575772579127924
Control	0.6456235288188436	2013	0.6637031314182946	1.0280033204993744
Control	0.6456235288188436	2014	0.6586836990613217	1.0202287705752786
Control	0.6456235288188436	2015	0.637505909200839	0.987426697981631
Control	0.6456235288188436	2016	0.6608852268979408	1.0236386956141736
Control	0.6456235288188436	2017	0.6683259493144493	1.0351635581453165
Treatment	0.6460669212114564	2012	0.6499398110102236	1.0059945644508546
Treatment	0.6460669212114564	2013	0.6399887584126082	0.9905920538580572
Treatment	0.6460669212114564	2014	0.651846013098596	1.0089450360286256
Treatment	0.6460669212114564	2015	0.6228347848939315	0.9640406658276798
Treatment	0.6460669212114564	2016	0.6627979803348317	1.0258967895957318
Treatment	0.6460669212114564	2017	0.7079567490602507	1.0957947633857237
