treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.7852676044458605	2012	0.7747144087278413	0.9865610198889252
Control	0.7852676044458605	2013	0.7908527001438321	1.0071123470092884
Control	0.7852676044458605	2014	0.7849084304620194	0.9995426094470119
Control	0.7852676044458605	2015	0.7778073131825762	0.9904996828838383
Control	0.7852676044458605	2016	0.77140285052359725	0.9823439120068538
Control	0.7852676044458605	2017	0.7693640245056718	0.9797475664981603
Treatment	0.7521919639865391	2012	0.7311261997539855	0.9719941647330195
Treatment	0.7521919639865391	2013	0.7437915929193202	0.9888321446260901
Treatment	0.7521919639865391	2014	0.7628896666891322	1.0142220380099467
Treatment	0.7521919639865391	2015	0.7296511069958891	0.9700331058162522
Treatment	0.7521919639865391	2016	0.7620488817034752	1.0131042582065029
Treatment	0.7521919639865391	2017	0.7994220408186424	1.0627899247710502
