treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.9999381469919358	2012	0.9999161894738474	0.999978041123689
Control	0.9999381469919358	2013	0.9999430515686272	1.000004904880073
Control	0.9999381469919358	2014	0.999927685042786	0.9999895374037071
Control	0.9999381469919358	2015	0.9999589366712466	1.0000207909652945
Control	0.9999381469919358	2016	0.9999451679891951	1.000007021431556
Control	0.9999381469919358	2017	0.9999476708665344	1.0000095244637153
Treatment	0.9999312569070047	2012	0.9998906921824356	0.9999594324866946
Treatment	0.9999312569070047	2013	0.9999598921752699	1.0000286372368774
Treatment	0.9999312569070047	2014	0.9999323108014976	1.000001053966946
Treatment	0.9999312569070047	2015	0.9999416947802399	1.0000104385908162
Treatment	0.9999312569070047	2016	0.9999908319502281	1.0000595791388778
Treatment	0.9999312569070047	2017	1	1.000068747818933
