treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.656257341678122	2012	10.777543171938188	1.011381653649232
Control	10.656257341678122	2013	10.941871281374832	1.026802462678865
Control	10.656257341678122	2014	10.925020543147918	1.0252211628203294
Control	10.656257341678122	2015	10.827286636656453	1.0160496588524952
Control	10.656257341678122	2016	11.25074264089541	1.0557874383243517
Control	10.656257341678122	2017	11.4440527088338	1.0739279600610336
Treatment	10.597363207989964	2012	10.673793831249816	1.0072122302274424
Treatment	10.597363207989964	2013	10.801185328459917	1.0192332862873172
Treatment	10.597363207989964	2014	10.606487956476618	1.0008610395159216
Treatment	10.597363207989964	2015	10.550052720988846	0.9955356359810855
Treatment	10.597363207989964	2016	10.46203152184744	0.9872296831309424
Treatment	10.597363207989964	2017	10.67217597926456	1.00705956470551
