treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	85.91886340910587	2012	86.33364253010996	1.0048275675974565
Control	85.91886340910587	2013	86.4995694832048	1.006758772766044
Control	85.91886340910587	2014	86.69619679529362	1.0090472959644083
Control	85.91886340910587	2015	87.16305957874586	1.0144810594585698
Control	85.91886340910587	2016	89.37793223247886	1.0402597134799434
Control	85.91886340910587	2017	89.58164217874256	1.0426306706618804
Treatment	1.5434442651838611	2012	1.3479058263951842	0.8733103337778227
Treatment	1.5434442651838611	2013	1.6920831486573937	1.0963033695653572
Treatment	1.5434442651838611	2014	1.7613370763956724	1.1411730997528797
Treatment	1.5434442651838611	2015	2.1752488224195203	1.409347179867487
Treatment	1.5434442651838611	2016	2.321709310816017	1.504239163789595
Treatment	1.5434442651838611	2017	2.3356154302096774	1.51324896071414
