treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	86.16261850208593	2012	86.45639513248408	1.0034095601492314
Control	86.16261850208593	2013	86.51613157554277	1.004102858984587
Control	86.16261850208593	2014	86.81349308673202	1.007554025120886
Control	86.16261850208593	2015	86.9075003055463	1.008645069247081
Control	86.16261850208593	2016	89.33388402821701	1.036805584385232
Control	86.16261850208593	2017	89.42937149651895	1.037913808229423
Treatment	1.724392375239488	2012	1.5123838786948718	0.8770532162001865
Treatment	1.724392375239488	2013	2.0843795758041774	1.2087617677587408
Treatment	1.724392375239488	2014	2.0038293221564247	1.1620495143271135
Treatment	1.724392375239488	2015	2.170882284819355	1.2589259358780551
Treatment	1.724392375239488	2016	1.9811893439375	1.1489202645438206
Treatment	1.724392375239488	2017	1.9728751430869564	1.1440987395997726
