treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.318225224061623	2012	12.679305721633881	0.9520266783540028
Control	13.318225224061623	2013	12.852716732587947	0.9650472579009509
Control	13.318225224061623	2014	12.748917795771806	0.9572535064761282
Control	13.318225224061623	2015	12.691641986374451	0.9529529477730153
Control	13.318225224061623	2016	10.494332897748638	0.7879678201258268
Control	13.318225224061623	2017	10.116798398997096	0.759620612265919
Treatment	8.607914907379966	2012	7.838852884126513	0.9106564096499025
Treatment	8.607914907379966	2013	8.361328194470142	0.971353490878678
Treatment	8.607914907379966	2014	8.402199423467577	0.9761015895108327
Treatment	8.607914907379966	2015	7.902358780043528	0.9180340262504766
Treatment	8.607914907379966	2016	7.623360258926254	0.8856221676158058
Treatment	8.607914907379966	2017	6.531738826597244	0.7588061565289499
