treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.276613381518056	2012	12.640819851483524	0.9521117688853094
Control	13.276613381518056	2013	12.646916446849563	0.9525709669647326
Control	13.276613381518056	2014	12.628345497424856	0.9511721953886499
Control	13.276613381518056	2015	12.204383812905204	0.9192392263146363
Control	13.276613381518056	2016	9.994035015574687	0.7527548425479542
Control	13.276613381518056	2017	9.70988473495179	0.7313525261245166
Treatment	8.20292459831052	2012	7.841049959873938	0.9558846806282829
Treatment	8.20292459831052	2013	8.419634720508054	1.0264186412541407
Treatment	8.20292459831052	2014	7.588826573768161	0.9251366976274731
Treatment	8.20292459831052	2015	6.64910484970548	0.8105773459230545
Treatment	8.20292459831052	2016	6.57194924578355	0.8011714806127942
Treatment	8.20292459831052	2017	5.735987507596774	0.6992612742994324
