treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.4513595946371082	2012	0.5039208128375204	1.1164508715997747
Control	0.4513595946371082	2013	0.44884306141734065	0.9944245491850222
Control	0.4513595946371082	2014	0.41904606657272453	0.9284084609071762
Control	0.4513595946371082	2015	0.39286802701017737	0.8704102708308264
Control	0.4513595946371082	2016	0.4548893473152677	1.007820267299286
Control	0.4513595946371082	2017	0.5658924860458654	1.2537508735154757
Treatment	89.93715849931222	2012	90.40809388370963	1.0052362715506629
Treatment	89.93715849931222	2013	89.5437327177306	0.9956255480143436
Treatment	89.93715849931222	2014	90.49626717031376	1.0062166592799995
Treatment	89.93715849931222	2015	92.02135806074658	1.0231739538607982
Treatment	89.93715849931222	2016	91.67410792155195	1.0193129230589715
Treatment	89.93715849931222	2017	92.67058493649395	1.0303926261713354
