treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.6185631346587939	2012	0.6916196416908182	1.1181067912692908
Control	0.6185631346587939	2013	0.6039468479021538	0.9763705821804227
Control	0.6185631346587939	2014	0.5391548230594178	0.8716245648179816
Control	0.6185631346587939	2015	0.4707735213801349	0.7610759435895232
Control	0.6185631346587939	2016	0.48059861979178886	0.7769596874810398
Control	0.6185631346587939	2017	0.8099290367717472	1.3093716572981882
Treatment	89.63336791389823	2012	91.38104475592051	1.0194980606296207
Treatment	89.63336791389823	2013	89.58643609976501	0.999476402424393
Treatment	89.63336791389823	2014	90.46135210695252	1.0092374548934684
Treatment	89.63336791389823	2015	91.71498110153871	1.0232236413300912
Treatment	89.63336791389823	2016	93.46707983336667	1.042771035036317
Treatment	89.63336791389823	2017	94.39962430819928	1.0531750229320795
