treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.06489491441777107	2012	0.06791651028898316	1.0465613661458908
Control	0.06489491441777107	2013	0.06612991240525347	1.0190307360532431
Control	0.06489491441777107	2014	0.06778124949544498	1.0444770611621843
Control	0.06489491441777107	2015	0.0603301748110555	0.9296595172723497
Control	0.06489491441777107	2016	0.05829292208897989	0.898266414432881
Control	0.06489491441777107	2017	0.06810183722216778	1.049417166709731
Treatment	0.07626972338503918	2012	0.06855397020569642	0.8988359622023193
Treatment	0.07626972338503918	2013	0.07114710925257493	0.932835548562261
Treatment	0.07626972338503918	2014	0.08419523837168966	1.103914300916491
Treatment	0.07626972338503918	2015	0.06756898085944861	0.8859214097097764
Treatment	0.07626972338503918	2016	0.059961819274372295	0.7861811556816818
Treatment	0.07626972338503918	2017	0.0748388625550035	0.9812394648029318
