treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.12736463716810068	2012	0.12416358557081279	0.9748670300606046
Control	0.12736463716810068	2013	0.12366402964374089	0.9709447802259619
Control	0.12736463716810068	2014	0.12317287033052535	0.9670884561776526
Control	0.12736463716810068	2015	0.11612683374669834	0.9117666907293093
Control	0.12736463716810068	2016	0.11359078882516215	0.891855002697811
Control	0.12736463716810068	2017	0.12253067460408033	0.9620462738205716
Treatment	0.14687261077934202	2012	0.1312675866735027	0.8937512990132384
Treatment	0.14687261077934202	2013	0.1378034065077946	0.9382512217667814
Treatment	0.14687261077934202	2014	0.1442760260001897	0.982320837320354
Treatment	0.14687261077934202	2015	0.13385285655750795	0.911353422855711
Treatment	0.14687261077934202	2016	0.12353666432395097	0.8411143757058256
Treatment	0.14687261077934202	2017	0.12450775569195315	0.8477261691698984
