treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.4783144181958478	2012	0.5081855187291497	1.0624507633409268
Control	0.4783144181958478	2013	0.49676331594714185	1.038570649450379
Control	0.4783144181958478	2014	0.49329444735128347	1.0313183725716208
Control	0.4783144181958478	2015	0.4639509093061265	0.96997057093972
Control	0.4783144181958478	2016	0.4665682303257683	0.975442538582916
Control	0.4783144181958478	2017	0.4754127693762481	0.9939335953314048
Treatment	0.3802488166660386	2012	0.385497257327221	1.0138026482428004
Treatment	0.3802488166660386	2013	0.3774530041376707	0.9926474129416597
Treatment	0.3802488166660386	2014	0.3653566839914311	0.9608358211205512
Treatment	0.3802488166660386	2015	0.36048965764332025	0.9480362379665938
Treatment	0.3802488166660386	2016	0.36016555727215604	0.9471839003472269
Treatment	0.3802488166660386	2017	0.38698838564764254	1.0177241024461179
