treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.6018425427271531	2012	0.5883960237706433	0.9776577460018379
Control	0.6018425427271531	2013	0.609735586052695	1.013114797916704
Control	0.6018425427271531	2014	0.6037428374175444	1.0031574615542804
Control	0.6018425427271531	2015	0.5796668955222232	0.9631537393411165
Control	0.6018425427271531	2016	0.5492190602910652	0.9125627075187589
Control	0.6018425427271531	2017	0.5507421451984579	0.9150934108161548
Treatment	0.44894331679216076	2012	0.4465032409641701	0.9945648465257803
Treatment	0.44894331679216076	2013	0.44862013604905604	0.9992801301834406
Treatment	0.44894331679216076	2014	0.41573323026915093	0.9260261033390447
Treatment	0.44894331679216076	2015	0.4168440595151302	0.9285004229344815
Treatment	0.44894331679216076	2016	0.4266212264710868	0.950278599800589
Treatment	0.44894331679216076	2017	0.44233307002017297	0.985275988026239
