treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.8054074192067632	2012	0.818244208544958	1.0159382556356853
Control	0.8054074192067632	2013	0.8296177498586128	1.03005973135397
Control	0.8054074192067632	2014	0.8090932496142147	1.0045763551707552
Control	0.8054074192067632	2015	0.7925345022996841	0.9840168880989979
Control	0.8054074192067632	2016	0.7670613274125896	0.9523891997022572
Control	0.8054074192067632	2017	0.7754522974105242	0.9628074921066143
Treatment	0.6458318540199339	2012	0.6803516574326232	1.0534501406175976
Treatment	0.6458318540199339	2013	0.6747527729361686	1.044780880249586
Treatment	0.6458318540199339	2014	0.6172512836363132	0.9557461122338221
Treatment	0.6458318540199339	2015	0.6100500562748723	0.9445957991660826
Treatment	0.6458318540199339	2016	0.602389755235451	0.9327346607107087
Treatment	0.6458318540199339	2017	0.6034294112204087	0.9343444543102136
