treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.7762674511098773	2012	0.7574935190673989	0.9758151240070209
Control	0.7762674511098773	2013	0.7686651326100032	0.9902065731482049
Control	0.7762674511098773	2014	0.7943847807945401	1.023339030457556
Control	0.7762674511098773	2015	0.810975739632582	1.0447117658650766
Control	0.7762674511098773	2016	0.8062902925224648	1.0386758988408724
Control	0.7762674511098773	2017	0.8131229064397896	1.0474777800836783
Treatment	0.18021189020782075	2012	0.18691903432644175	1.0372180998206406
Treatment	0.18021189020782075	2013	0.18003180029300406	0.9990006768443025
Treatment	0.18021189020782075	2014	0.17248118523712863	0.9571021370355915
Treatment	0.18021189020782075	2015	0.17165171149724925	0.9524993678236221
Treatment	0.18021189020782075	2016	0.14801093004218005	0.82131611777388
Treatment	0.18021189020782075	2017	0.18175145039050364	1.0085430555159678
