treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.8088622560576718	2012	0.7732197211702272	0.9559349758002513
Control	0.8088622560576718	2013	0.788263928485099	0.9745341961275737
Control	0.8088622560576718	2014	0.8233425648503928	1.017902070079641
Control	0.8088622560576718	2015	0.8394260731846135	1.0377861828735924
Control	0.8088622560576718	2016	0.828733212403512	1.0245665515939508
Control	0.8088622560576718	2017	0.8395520281565206	1.0379419015648328
Treatment	0.17483647285236242	2012	0.1788924322666654	1.0231985886476214
Treatment	0.17483647285236242	2013	0.17014701135323906	0.9731780135882557
Treatment	0.17483647285236242	2014	0.1669322240747068	0.954790618635219
Treatment	0.17483647285236242	2015	0.17028591314089955	0.9739724804714774
Treatment	0.17483647285236242	2016	0.16194590990188473	0.9262707446554193
Treatment	0.17483647285236242	2017	0.19327255868609253	1.1054475964480142
