treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.8076819046630151	2012	0.7872447843053129	0.9746965726980981
Control	0.8076819046630151	2013	0.7985273817527357	0.9886656827924121
Control	0.8076819046630151	2014	0.818970233371997	1.0139762060333537
Control	0.8076819046630151	2015	0.8371784421874764	1.0365199930246896
Control	0.8076819046630151	2016	0.8414063277733026	1.0417545854569543
Control	0.8076819046630151	2017	0.8474766912323842	1.0492703703520168
Treatment	0.17163054058036842	2012	0.17671291737128036	1.029612310103586
Treatment	0.17163054058036842	2013	0.17121391303891778	0.9975725326038023
Treatment	0.17163054058036842	2014	0.17028585605013377	0.9921652374589767
Treatment	0.17163054058036842	2015	0.1803513896954736	1.0508117557960002
Treatment	0.17163054058036842	2016	0.17850855771908403	1.0400745526726047
Treatment	0.17163054058036842	2017	0.20770870137142963	1.2102082803507055
