treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0012338062924120913	2012	0.001759014951627089	1.4256816182937555
Control	0.0012338062924120913	2013	0	0
Control	0.0012338062924120913	2014	0	0
Control	0.0012338062924120913	2015	0.0011976047904191617	0.9706586826347305
Control	0.0012338062924120913	2016	0.009933385579937304	8.051009012539184
Control	0.0012338062924120913	2017	0.00791642843529636	6.416265246807699
Treatment	0.003961965134706815	2012	0.00408997955010225	1.0323108384458077
Treatment	0.003961965134706815	2013	0.00298804780876494	0.7541832669322709
Treatment	0.003961965134706815	2014	0.00199203187250996	0.502788844621514
Treatment	0.003961965134706815	2015	0	0
Treatment	0.003961965134706815	2016	0.002795248078266946	0.7055206149545772
Treatment	0.003961965134706815	2017	0.009672619047619048	2.4413690476190477
