treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.18695956597940824	2012	0.2201570093479455	1.1775648290293614
Control	0.18695956597940824	2013	0.2070005227494237	1.107194069824824
Control	0.18695956597940824	2014	0.1721146206122857	0.9205980967630317
Control	0.18695956597940824	2015	0.1576646215059828	0.8433086623839724
Control	0.18695956597940824	2016	0.15695725549311532	0.8395251383414242
Control	0.18695956597940824	2017	0.14530433583176672	0.7771965829647388
Treatment	0.8293785416738026	2012	0.8255668463480963	0.9954041548772002
Treatment	0.8293785416738026	2013	0.8309159814561848	1.0018537250545203
Treatment	0.8293785416738026	2014	0.8326630533476488	1.0039602081664876
Treatment	0.8293785416738026	2015	0.8300254626580127	1.0007800068987853
Treatment	0.8293785416738026	2016	0.8332794395553732	1.0047033986118064
Treatment	0.8293785416738026	2017	0.7997281426424764	0.9642498599355035
