treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.18809697738847408	2012	0.21822354973238375	1.1601651061180513
Control	0.18809697738847408	2013	0.19951991444402706	1.0607289772230701
Control	0.18809697738847408	2014	0.1781846632008291	0.9473021080653878
Control	0.18809697738847408	2015	0.15966303674121202	0.8488336120971373
Control	0.18809697738847408	2016	0.15618222260499445	0.8303281890725627
Control	0.18809697738847408	2017	0.1459205795026548	0.7757731226126353
Treatment	0.8123756097440308	2012	0.8109600595881084	0.9982575176569266
Treatment	0.8123756097440308	2013	0.8056996212895279	0.991782140706309
Treatment	0.8123756097440308	2014	0.8248136266888857	1.0153106725456393
Treatment	0.8123756097440308	2015	0.8221274194025955	1.0120040650428161
Treatment	0.8123756097440308	2016	0.8257540650191947	1.0164683123356932
Treatment	0.8123756097440308	2017	0.7918484809914005	0.9747319731089685
