treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.19062030246771491	2012	0.21014083660971983	1.1024053256095903
Control	0.19062030246771491	2013	0.20147261824726426	1.0569315840918225
Control	0.19062030246771491	2014	0.18102976662800296	0.9496877524819987
Control	0.19062030246771491	2015	0.16282155781252358	0.8541669261074666
Control	0.19062030246771491	2016	0.15198177864297288	0.7973011094592813
Control	0.19062030246771491	2017	0.14756018982316865	0.7741053178118878
Treatment	0.8227230419741487	2012	0.8185421241471064	0.9949181952932665
Treatment	0.8227230419741487	2013	0.8233709245062085	1.0007874855802084
Treatment	0.8227230419741487	2014	0.8261680446590861	1.0041873176137999
Treatment	0.8227230419741487	2015	0.8196486103045264	0.9962631025110892
Treatment	0.8227230419741487	2016	0.821491442280916	0.9985030202991794
Treatment	0.8227230419741487	2017	0.7882096659755091	0.9580498245000849
