treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.21175449389909948	2012	0.21909282169907476	1.0346548857823625
Control	0.21175449389909948	2013	0.2150846304615087	1.0157264032563862
Control	0.21175449389909948	2014	0.1988770126855907	0.9391867394339934
Control	0.21175449389909948	2015	0.181708171794467	0.8581077475552916
Control	0.21175449389909948	2016	0.17182664641925507	0.8114427385004168
Control	0.21175449389909948	2017	0.17230187544715167	0.8136869838014069
Treatment	0.8166831014476443	2012	0.8104075779495947	0.992315840150328
Treatment	0.8166831014476443	2013	0.811324019648291	0.9934379910765218
Treatment	0.8166831014476443	2014	0.8225040528697398	1.0071275521824528
Treatment	0.8166831014476443	2015	0.8153005711393869	0.9983071398124845
Treatment	0.8166831014476443	2016	0.8247719241345886	1.009904481521175
Treatment	0.8166831014476443	2017	0.798015174153332	0.9771417735211837
