treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.10344096115903414	2012	0.11271644524429647	1.0896693532362083
Control	0.10344096115903414	2013	0.10658512132774026	1.0303956975406692
Control	0.10344096115903414	2014	0.10830952111989851	1.0470660742738
Control	0.10344096115903414	2015	0.10261191278140236	0.9919852989730328
Control	0.10344096115903414	2016	0.10347118381923416	1.0002921730411374
Control	0.10344096115903414	2017	0.11036171755635893	1.0669053759727207
Treatment	0.10188573969933179	2012	0.10300093855132386	1.0109455833101184
Treatment	0.10188573969933179	2013	0.09812203821050215	0.9630595851790795
Treatment	0.10188573969933179	2014	0.10478277323222732	1.0284341414357374
Treatment	0.10188573969933179	2015	0.10226920515442794	1.003763681318188
Treatment	0.10188573969933179	2016	0.10272748781523586	1.0082616872428674
Treatment	0.10188573969933179	2017	0.11934597766916216	1.1713707729988134
