treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.15541249008416594	2012	0.1644196096560232	1.057956214246225
Control	0.15541249008416594	2013	0.15992940560273675	1.0290640444415027
Control	0.15541249008416594	2014	0.16401998239142782	1.0553848168998539
Control	0.15541249008416594	2015	0.16067611233726423	1.0338687209132786
Control	0.15541249008416594	2016	0.15606162688400024	1.0041768637738366
Control	0.15541249008416594	2017	0.16434981546312824	1.057507124260876
Treatment	0.1513225907605587	2012	0.15800285616300813	1.0441458566686832
Treatment	0.1513225907605587	2013	0.15300142122135402	1.011094380900812
Treatment	0.1513225907605587	2014	0.16049417043761555	1.0606094544836946
Treatment	0.1513225907605587	2015	0.16356068084629402	1.0808741776374946
Treatment	0.1513225907605587	2016	0.15498064720177357	1.0241738951390482
Treatment	0.1513225907605587	2017	0.16819120643295232	1.1114745365355607
