treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	8.713767922694299	2012	9.060317676416958	1.0397703676293808
Control	8.713767922694299	2013	9.119164399589462	1.0465236715611097
Control	8.713767922694299	2014	8.97868205346377	1.0304017886544263
Control	8.713767922694299	2015	8.869626751346974	1.0178865021464198
Control	8.713767922694299	2016	9.368557210917427	1.0751442193586294
Control	8.713767922694299	2017	9.56011821655457	1.0971279360856079
Treatment	8.922657140758844	2012	9.121824420157626	1.0223215210734684
Treatment	8.922657140758844	2013	9.248565658012543	1.0365259487294367
Treatment	8.922657140758844	2014	8.952176225687298	1.0033083289498608
Treatment	8.922657140758844	2015	8.860516764626311	0.9930356646958142
Treatment	8.922657140758844	2016	9.176135207968487	1.028408361232637
Treatment	8.922657140758844	2017	9.336511371911204	1.046382397600135
