treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	8.540193433517718	2012	8.875743559479922	1.0392906938905235
Control	8.540193433517718	2013	8.952075003156121	1.0482285996031298
Control	8.540193433517718	2014	8.871222825148699	1.0387613458884655
Control	8.540193433517718	2015	8.824321593975684	1.0332695228357296
Control	8.540193433517718	2016	9.32832902828325	1.0922854500780197
Control	8.540193433517718	2017	9.415831617502242	1.1025314228302963
Treatment	8.803674306534141	2012	9.02927090941457	1.0256252781538033
Treatment	8.803674306534141	2013	9.20600921675398	1.0457007944877315
Treatment	8.803674306534141	2014	8.832821175800907	1.0033107618764512
Treatment	8.803674306534141	2015	8.814590723922628	1.0012399842393516
Treatment	8.803674306534141	2016	9.184526667663148	1.0432606145875178
Treatment	8.803674306534141	2017	9.358985288043224	1.063077183704641
