treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.034441990055143	2012	10.340000611811991	1.0304509829305584
Control	10.034441990055143	2013	10.462487309727724	1.0426576106670211
Control	10.034441990055143	2014	10.375098795639135	1.033948754292626
Control	10.034441990055143	2015	10.320294108017675	1.0284870965665887
Control	10.034441990055143	2016	10.791176262414428	1.0754136874884785
Control	10.034441990055143	2017	10.863239004355046	1.0825952270311894
Treatment	10.301686507259628	2012	10.50006789882254	1.0192571761354912
Treatment	10.301686507259628	2013	10.719425096576957	1.0405505049122732
Treatment	10.301686507259628	2014	10.344711904509952	1.0041765391734647
Treatment	10.301686507259628	2015	10.27659406343088	0.997564239232958
Treatment	10.301686507259628	2016	10.616231017051659	1.030533302442311
Treatment	10.301686507259628	2017	10.773222019321995	1.0457726520536297
