treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.216657630754899	2012	10.534670149011252	1.0311268645529483
Control	10.216657630754899	2013	10.634957011009542	1.0409428793028601
Control	10.216657630754899	2014	10.490627812682643	1.0268160284732475
Control	10.216657630754899	2015	10.370516132294618	1.0150595730130532
Control	10.216657630754899	2016	10.83839940633755	1.0608556925418584
Control	10.216657630754899	2017	11.03278571687331	1.0798821019177196
Treatment	10.423831081313072	2012	10.595524857031586	1.016471273793597
Treatment	10.423831081313072	2013	10.764036868458136	1.0326373081539046
Treatment	10.423831081313072	2014	10.46810781400257	1.0042476448768316
Treatment	10.423831081313072	2015	10.326730585936478	0.9906847593155392
Treatment	10.423831081313072	2016	10.615867541157154	1.0184228292214317
Treatment	10.423831081313072	2017	10.761176431844241	1.0323628949759107
