treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.061664694093123	2012	10.361119195035304	1.0297619240996951
Control	10.061664694093123	2013	10.482292686153032	1.04180500989134
Control	10.061664694093123	2014	10.402240471394553	1.0338488498331067
Control	10.061664694093123	2015	10.341731699017489	1.0278350564682188
Control	10.061664694093123	2016	10.841243651723918	1.0774801169918196
Control	10.061664694093123	2017	10.90409335195606	1.0837265684631192
Treatment	10.313189093348203	2012	10.50539932447246	1.0186373224988408
Treatment	10.313189093348203	2013	10.726204030453975	1.0400472572903912
Treatment	10.313189093348203	2014	10.361644303125974	1.004698373057954
Treatment	10.313189093348203	2015	10.301209018150697	0.9988383733596785
Treatment	10.313189093348203	2016	10.63705144722928	1.0314027359480844
Treatment	10.313189093348203	2017	10.80691599524314	1.0478733491091887
