treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.344845376458377	2012	11.603192832334615	1.0227722324371502
Control	11.344845376458377	2013	11.62652903318277	1.0248292195598288
Control	11.344845376458377	2014	11.590926173129834	1.0216909784581196
Control	11.344845376458377	2015	11.56343624583397	1.0192678579673893
Control	11.344845376458377	2016	12.056637942033648	1.0627414955387853
Control	11.344845376458377	2017	12.190301243936682	1.0745233486595336
Treatment	12.228166623556723	2012	12.316021825980036	1.0071846585942055
Treatment	12.228166623556723	2013	12.340156692737057	1.0091583695764001
Treatment	12.228166623556723	2014	12.403886084104062	1.0143700577491992
Treatment	12.228166623556723	2015	12.360473442706803	1.0108198410459341
Treatment	12.228166623556723	2016	12.786541574556743	1.045663014594874
Treatment	12.228166623556723	2017	12.957709273773872	1.059660836548607
