treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.411361511335235	2012	12.686380351572856	1.022158635858479
Control	12.411361511335235	2013	12.778344629411318	1.0295683207471573
Control	12.411361511335235	2014	12.779699503876989	1.0296774847953105
Control	12.411361511335235	2015	12.798282112536878	1.0311747104335225
Control	12.411361511335235	2016	13.288610040636401	1.0706810875261332
Control	12.411361511335235	2017	13.331802945269809	1.0741611976328254
Treatment	13.320786699724108	2012	13.499822314845431	1.013440318440429
Treatment	13.320786699724108	2013	13.479273535649874	1.0118977084085468
Treatment	13.320786699724108	2014	13.609302936142909	1.0216590988897658
Treatment	13.320786699724108	2015	13.610790618603117	1.0217707801660856
Treatment	13.320786699724108	2016	13.895114106838331	1.043115126760953
Treatment	13.320786699724108	2017	13.985394834031938	1.0498925588472634
