treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.261826124246664	2012	10.50747653663021	1.0239382746705405
Control	10.261826124246664	2013	10.616751404612883	1.0345869512958907
Control	10.261826124246664	2014	10.582871743989793	1.0312854277451224
Control	10.261826124246664	2015	10.543741738898342	1.0274722657778783
Control	10.261826124246664	2016	11.067775086144618	1.078538551729468
Control	10.261826124246664	2017	11.182767630055965	1.0897444075410028
Treatment	10.999815836957454	2012	11.090817563324476	1.0082730227229144
Treatment	10.999815836957454	2013	11.223816758212761	1.020364061051159
Treatment	10.999815836957454	2014	11.268239379186069	1.0244025487523853
Treatment	10.999815836957454	2015	11.222533524815706	1.0202474015164835
Treatment	10.999815836957454	2016	11.704507181534801	1.0640639220712866
Treatment	10.999815836957454	2017	11.88327668501387	1.0803159672081184
