treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.207811531805927	2012	11.496846747579372	1.0257887291335344
Control	11.207811531805927	2013	11.633759663045629	1.0380045765429702
Control	11.207811531805927	2014	11.60414949494342	1.035362654164263
Control	11.207811531805927	2015	11.653912479504962	1.0398026810526813
Control	11.207811531805927	2016	12.174503210480617	1.0862516001390083
Control	11.207811531805927	2017	12.238717526616206	1.0919810251880786
Treatment	11.983242937511035	2012	12.186923937459303	1.0169971518570058
Treatment	11.983242937511035	2013	12.227215209078357	1.0203594530161464
Treatment	11.983242937511035	2014	12.23060505725588	1.0206423353874043
Treatment	11.983242937511035	2015	12.231140494087262	1.020687017518458
Treatment	11.983242937511035	2016	12.594721825523884	1.0510278303795997
Treatment	11.983242937511035	2017	12.766786828467161	1.065386631568939
