treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.384425784771006	2012	11.6611872586931	1.0243105343347505
Control	11.384425784771006	2013	11.770345104477144	1.033898883176206
Control	11.384425784771006	2014	11.779066522179678	1.0346649664084582
Control	11.384425784771006	2015	11.803477295096695	1.0368091916314528
Control	11.384425784771006	2016	12.28065838755059	1.0787244451080245
Control	11.384425784771006	2017	12.395548340069976	1.0888162981967482
Treatment	12.098086966167518	2012	12.278724234736007	1.0149310605117687
Treatment	12.098086966167518	2013	12.453547854067605	1.029381578169684
Treatment	12.098086966167518	2014	12.334350064151714	1.019528963434046
Treatment	12.098086966167518	2015	12.201107218208268	1.0085154167207466
Treatment	12.098086966167518	2016	12.634771895358329	1.0443611399630088
Treatment	12.098086966167518	2017	12.839060197515936	1.0612471404297688
