treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.122830294877605	2012	12.49629268453316	1.0308065344949486
Control	12.122830294877605	2013	12.549585587351125	1.0352026121040265
Control	12.122830294877605	2014	12.598091187541948	1.0392037899652162
Control	12.122830294877605	2015	12.493946829677487	1.0306130273024356
Control	12.122830294877605	2016	12.867624522097053	1.0614373219044528
Control	12.122830294877605	2017	12.8984227374164	1.063977835511441
Treatment	12.198303825783665	2012	12.589555454151828	1.0320742649105994
Treatment	12.198303825783665	2013	12.515022973865776	1.025964195727988
Treatment	12.198303825783665	2014	12.50299959962076	1.0249785362119819
Treatment	12.198303825783665	2015	12.706525248595032	1.041663286147795
Treatment	12.198303825783665	2016	12.671228121370238	1.038769676697751
Treatment	12.198303825783665	2017	12.740113615167445	1.0444168137736127
