treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.992057514775473	2012	13.033782615236182	1.0032115852637857
Control	12.992057514775473	2013	13.225808348557903	1.0179918256609157
Control	12.992057514775473	2014	13.404640044551662	1.0317565196511
Control	12.992057514775473	2015	13.368018333208083	1.0289377427713078
Control	12.992057514775473	2016	13.681961507343699	1.053101981097576
Control	12.992057514775473	2017	13.68290656068201	1.0531747219499956
Treatment	12.737343854619995	2012	13.01041022793475	1.021438250896847
Treatment	12.737343854619995	2013	13.056258205747655	1.0250377437217404
Treatment	12.737343854619995	2014	12.858027062099287	1.0094747546157765
Treatment	12.737343854619995	2015	13.120507754321167	1.0300819310583496
Treatment	12.737343854619995	2016	13.154697315086397	1.0327661296758526
Treatment	12.737343854619995	2017	13.202995053978574	1.0365579515378853
