treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.374715088948882	2012	12.740461408534394	1.029555938618105
Control	12.374715088948882	2013	12.768546878573373	1.031825523803469
Control	12.374715088948882	2014	12.779595679010125	1.0327183767182502
Control	12.374715088948882	2015	12.568158741514507	1.0156321702095896
Control	12.374715088948882	2016	12.953236611021534	1.0467502902421806
Control	12.374715088948882	2017	13.112346209756303	1.0596079275769472
Treatment	12.357848267687876	2012	12.770629205526198	1.0334023309638476
Treatment	12.357848267687876	2013	12.715854872964409	1.0289699790385527
Treatment	12.357848267687876	2014	12.580640317638542	1.0180283852920577
Treatment	12.357848267687876	2015	12.823123318624665	1.0376501669917202
Treatment	12.357848267687876	2016	12.692442710173268	1.0270754612969522
Treatment	12.357848267687876	2017	12.789724375945022	1.034947516663267
