treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.88595603981814	2012	13.178145870332656	1.022675060322388
Control	12.88595603981814	2013	13.254319551703468	1.0285864324499532
Control	12.88595603981814	2014	13.210452881117384	1.0251822092436553
Control	12.88595603981814	2015	13.146250956829737	1.0201998917431718
Control	12.88595603981814	2016	13.57273618241372	1.0532967938485434
Control	12.88595603981814	2017	13.609285844587887	1.0561331889178132
Treatment	13.034488700118123	2012	13.295924552507415	1.0200572387919538
Treatment	13.034488700118123	2013	13.39935700278363	1.0279925289790768
Treatment	13.034488700118123	2014	13.10019453880425	1.0050409218342051
Treatment	13.034488700118123	2015	13.041799554983152	1.0005608854350354
Treatment	13.034488700118123	2016	13.286819449017315	1.01935869942462
Treatment	13.034488700118123	2017	13.5217102833482	1.037379416595425
