treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.491485177020753	2012	13.576836910995821	1.0063263408627867
Control	13.491485177020753	2013	13.72784753841218	1.0175193730186214
Control	13.491485177020753	2014	13.758808926956476	1.0198142566535995
Control	13.491485177020753	2015	13.811281772659905	1.0237035872213567
Control	13.491485177020753	2016	14.168507433074188	1.050181447570099
Control	13.491485177020753	2017	14.267273507501278	1.057502070402292
Treatment	13.37297175821344	2012	13.516280869166517	1.0107163249533566
Treatment	13.37297175821344	2013	13.637439174462688	1.0197762637228944
Treatment	13.37297175821344	2014	13.422431634200194	1.003698495508777
Treatment	13.37297175821344	2015	13.247709820699361	0.9906332010731164
Treatment	13.37297175821344	2016	13.476630693360056	1.0077513762102241
Treatment	13.37297175821344	2017	13.655149619092388	1.021100609945253
