treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.503820749850206	2012	12.764649904919027	1.0208599563514973
Control	12.503820749850206	2013	12.88665558253238	1.0306174280918703
Control	12.503820749850206	2014	12.832291263857666	1.0262696115514447
Control	12.503820749850206	2015	12.632218550261086	1.0102686853066427
Control	12.503820749850206	2016	13.137301194294938	1.0506629499189135
Control	12.503820749850206	2017	13.284629647130528	1.0624456246535425
Treatment	12.783021222704136	2012	13.003016418979847	1.0172099531435475
Treatment	12.783021222704136	2013	13.022722450111235	1.0187515316787055
Treatment	12.783021222704136	2014	12.855024041758627	1.0056326918183165
Treatment	12.783021222704136	2015	13.413753503489012	1.049341409186165
Treatment	12.783021222704136	2016	13.74097658946506	1.07493966802304
Treatment	12.783021222704136	2017	13.745019983405749	1.0752559777490622
