treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.23272677830155	2012	13.240095097691913	1.000556825476246
Control	13.23272677830155	2013	13.419302198559791	1.0140995445144518
Control	13.23272677830155	2014	13.526776875296392	1.022221428880177
Control	13.23272677830155	2015	13.368975552592754	1.010296349087674
Control	13.23272677830155	2016	13.768388769962026	1.0404800915665267
Control	13.23272677830155	2017	13.910252544705617	1.051200767442357
Treatment	13.149512098883179	2012	13.360750362662214	1.0160643423262052
Treatment	13.149512098883179	2013	13.338013351565529	1.0143352278977986
Treatment	13.149512098883179	2014	13.117596307659458	0.9975728535793786
Treatment	13.149512098883179	2015	13.81986775192453	1.0509795076806148
Treatment	13.149512098883179	2016	14.204404299813264	1.0802229157247347
Treatment	13.149512098883179	2017	14.062818461741129	1.0694555323414259
