treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.942222720707315	2012	13.218511666572974	1.0213478744592768
Control	12.942222720707315	2013	13.307414116198506	1.0282170538532682
Control	12.942222720707315	2014	13.216794927958865	1.0212152281085567
Control	12.942222720707315	2015	13.04839747403998	1.008203749512268
Control	12.942222720707315	2016	13.538598411514199	1.0460798507085414
Control	12.942222720707315	2017	13.686661391873882	1.057520156099267
Treatment	13.056114082480116	2012	13.292212959083757	1.018083395649894
Treatment	13.056114082480116	2013	13.403647529943704	1.026618444452009
Treatment	13.056114082480116	2014	13.131238705005396	1.0057539802463957
Treatment	13.056114082480116	2015	13.678122416385023	1.0476411534071668
Treatment	13.056114082480116	2016	13.904129415505377	1.064951587253914
Treatment	13.056114082480116	2017	13.975298260160363	1.0704025847103842
